date,btc_price,eth_price,sp500_price,vix_index,quarter,asset_category,base_volatility
2020-01-01,26013.430363827687,1588.7276515800945,3390.1508377686005,10.0,1,cryptocurrency,0.08
2020-01-08,25100.39101182912,1548.2511933654255,3461.423742310685,17.948094686110654,1,cryptocurrency,0.08
2020-01-15,27130.33908446903,1715.9709874877444,3506.705131765221,21.053433741879807,1,cryptocurrency,0.08
2020-01-22,29524.603367721014,1864.815464906524,3512.809512480278,22.375487514075488,1,cryptocurrency,0.08
2020-01-29,26015.074893650224,1453.383978260739,3481.209356032858,23.771259801941124,1,cryptocurrency,0.08
2020-02-05,26364.719132181595,1507.7066666134278,3559.936046398046,25.363376512323068,1,cryptocurrency,0.08
2020-02-12,30864.77506745048,1899.5758470696271,3444.703023211277,14.52685543620182,1,cryptocurrency,0.08
2020-02-19,29260.170002959374,1800.7105929840325,3512.21550754496,17.333803140834622,1,cryptocurrency,0.08
2020-02-26,26782.18328389954,1648.3133016377633,3533.910549006919,16.433646094444924,1,cryptocurrency,0.08
2020-03-04,29310.97177712928,2097.4402185900703,3565.101228998545,22.683632020177285,1,cryptocurrency,0.08
2020-03-11,27260.936702737683,1682.3452323928611,3582.4269588273137,23.413239405697563,1,cryptocurrency,0.08
2020-03-18,27436.588119840606,1739.6634274484709,3456.373352700806,19.704792627462172,1,cryptocurrency,0.08
2020-03-25,29185.867387299513,1834.6821501076581,3431.285445550535,19.603763017859695,1,cryptocurrency,0.08
2020-04-01,24655.73141421941,1527.5254680664689,3633.0601108950427,19.997037124721412,2,cryptocurrency,0.08
2020-04-08,25087.365200982076,1481.5140880281342,3568.2403150337873,26.990156823685044,2,cryptocurrency,0.08
2020-04-15,27555.802622420484,1716.0901754544436,3495.0968172951543,18.51068766649672,2,cryptocurrency,0.08
2020-04-22,26564.93639382923,1532.3060256265396,3662.9116715495966,21.060603771507786,2,cryptocurrency,0.08
2020-04-29,29483.108185027413,1748.0400452934155,3562.4672251812835,20.09279327353528,2,cryptocurrency,0.08
2020-05-06,26650.38620361683,1560.2177942206,3642.3545219090543,23.463304760177927,2,cryptocurrency,0.08
2020-05-13,25483.445257203,1535.2660208792756,3565.4820701638537,21.567144202047356,2,cryptocurrency,0.08
2020-05-20,31904.322422313107,2135.8021849649485,3713.847418360923,13.134327353576037,2,cryptocurrency,0.08
2020-05-27,27686.274318439293,1506.0836100642518,3694.5721652699963,24.250499497942524,2,cryptocurrency,0.08
2020-06-03,28136.904912411635,1746.1420079099214,3552.6122679645714,25.32316792298304,2,cryptocurrency,0.08
2020-06-10,24771.732693426762,1366.454662190935,3643.6954771485794,26.583837426371936,2,cryptocurrency,0.08
2020-06-17,26353.96089746882,1543.9258320362765,3623.2775986907645,23.541252079189224,2,cryptocurrency,0.08
2020-06-24,27527.35353996867,1741.5689966089622,3679.396208612432,17.595120928457142,2,cryptocurrency,0.08
2020-07-01,24660.143046594567,1484.36404619347,3514.7981110904466,19.231023259608687,3,cryptocurrency,0.08
2020-07-08,27612.954636375038,1567.4981251948461,3636.0797453823907,17.36070453944524,3,cryptocurrency,0.08
2020-07-15,25312.928517217053,1464.4564160512296,3666.5753944517483,21.90656993061602,3,cryptocurrency,0.08
2020-07-22,25726.38250868121,1596.0337254442693,3468.836844827257,22.95853958918426,3,cryptocurrency,0.08
2020-07-29,24896.301044153115,1439.227780041685,3512.1678806367186,15.57856175321812,3,cryptocurrency,0.08
2020-08-05,30075.74225349692,1824.074993456284,3455.677483861331,20.808656925437596,3,cryptocurrency,0.08
2020-08-12,25737.940649628094,1547.7952149099017,3583.426821995967,22.641031274539635,3,cryptocurrency,0.08
2020-08-19,23544.808803045482,1366.663111381598,3658.1701370747437,20.5005733892294,3,cryptocurrency,0.08
2020-08-26,27245.642336402903,1809.9779417251827,3719.405629047314,14.043922256432367,3,cryptocurrency,0.08
2020-09-02,23062.095180465793,1427.5842133161648,3617.9340393524703,18.36949449570286,3,cryptocurrency,0.08
2020-09-09,25806.489769966218,1391.6039218620656,3735.561318897995,20.22079908645122,3,cryptocurrency,0.08
2020-09-16,21683.80833080696,1313.1576187201542,3520.588897399666,23.701157493724047,3,cryptocurrency,0.08
2020-09-23,22826.51771636746,1324.2722215945842,3501.0648987513114,15.102975386612982,3,cryptocurrency,0.08
2020-09-30,25847.46843912356,1616.9478375002202,3621.6451952691464,13.62896877244728,3,cryptocurrency,0.08
2020-10-07,27093.267869724008,1561.1801422074345,3656.9343312171804,18.051193592185975,4,cryptocurrency,0.08
2020-10-14,26026.342445034283,1552.6220369524306,3629.861526825658,25.810586233075185,4,cryptocurrency,0.08
2020-10-21,25604.177040954823,1575.0399735406263,3488.263598805656,19.548299790615378,4,cryptocurrency,0.08
2020-10-28,25428.997783466984,1591.7857277487503,3632.332631349685,15.62787786016526,4,cryptocurrency,0.08
2020-11-04,23358.45449915314,1317.3960629200603,3548.3140438751093,20.961394252330376,4,cryptocurrency,0.08
2020-11-11,25081.125855800197,1479.698548562869,3694.554345805104,17.758697096617848,4,cryptocurrency,0.08
2020-11-18,25904.22090426341,1517.3439894825317,3675.5507067623316,11.263533683881112,4,cryptocurrency,0.08
2020-11-25,29616.97483186682,1718.969583597834,3583.994410649581,17.15828047440369,4,cryptocurrency,0.08
